user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score
82,21,Male,Engineer,8.33,78,4.58,3,1,4,80,142,1
83,27,Female,Business,5.35,78,7.7,2,8,5,29,116,6
84,52,Female,Engineer,1.98,94,7.64,9,4,0,100,266,5
85,42,Female,Engineer,5.14,15,5.85,8,3,2,81,105,7
86,47,Male,Designer,2.51,103,4.89,7,2,4,54,289,5
87,19,Male,Student,9.04,52,5.54,8,4,3,7,167,7
88,21,Female,Doctor,1.69,85,7.52,4,4,3,3,233,7
89,19,Female,Designer,9.42,69,5.81,9,5,5,54,97,8
90,23,Male,Designer,3.1,67,5.76,3,6,0,58,184,1
91,55,Female,Teacher,8.33,52,4.79,8,5,2,110,166,7
92,35,Male,Business,4.88,70,4.03,1,2,1,93,87,2
93,50,Male,Doctor,1.82,72,6.83,7,4,1,70,164,2
94,35,Male,Student,9.34,107,4.4,6,8,0,45,129,4
95,35,Male,Student,5.51,27,6.43,2,3,0,63,203,3
96,31,Female,Doctor,6.76,37,4.43,9,5,3,80,102,4
97,37,Male,Designer,6.44,48,7.24,5,7,4,96,87,4
98,48,Female,Engineer,4.84,83,7.34,1,7,3,105,48,5
99,34,Female,Doctor,2.18,60,8.61,2,4,1,71,85,6
100,56,Male,Designer,9.87,68,6.65,4,9,1,116,262,5
101,55,Male,Doctor,9.1,33,8.4,1,2,2,31,92,6
102,52,Male,Business,9.5,63,7.76,1,1,5,117,219,7
103,22,Male,Designer,1.84,89,4.0,4,1,4,75,185,5
104,47,Female,Doctor,1.51,90,8.35,8,9,0,58,257,7
105,19,Male,Engineer,1.09,44,7.43,4,6,1,109,173,4
106,54,Female,Business,7.2,23,5.67,8,4,1,22,162,1
107,37,Male,Student,6.78,80,4.91,2,8,4,39,28,1
108,36,Male,Student,3.26,87,7.17,5,2,4,51,175,8
109,54,Female,Designer,9.33,104,4.65,7,2,4,108,272,6
110,49,Female,Student,8.14,40,6.28,5,5,3,53,216,7
111,52,Male,Doctor,5.43,86,8.41,7,2,3,97,82,3
112,44,Female,Teacher,5.45,119,4.95,9,4,5,19,115,1
113,55,Male,Engineer,8.79,5,6.89,5,4,5,82,169,4
114,34,Male,Student,7.78,6,5.97,9,5,5,72,278,8
115,31,Female,Business,4.32,28,7.59,4,3,5,82,261,6
116,42,Female,Doctor,9.36,30,4.35,7,2,2,106,199,8
117,53,Female,Doctor,3.69,80,7.99,8,6,2,55,133,8
118,23,Male,Designer,9.44,88,4.93,3,3,4,94,167,7
119,35,Female,Business,6.14,92,7.87,7,6,2,97,53,4
120,37,Female,Engineer,8.42,102,4.27,6,9,2,51,207,6
121,33,Male,Student,9.43,104,7.85,9,1,2,23,293,3
122,18,Male,Business,2.02,25,5.89,8,4,2,90,250,2
123,46,Female,Designer,1.06,36,8.8,5,9,5,118,188,4
124,33,Female,Business,2.7,59,5.91,8,8,0,44,65,8
125,46,Male,Engineer,5.9,13,6.09,2,5,2,112,107,8
126,52,Female,Teacher,3.08,23,5.97,5,7,1,66,144,4
127,38,Male,Designer,3.97,40,4.12,3,5,5,52,40,1
128,49,Male,Doctor,6.74,9,6.77,8,6,5,76,239,5
129,33,Female,Teacher,2.82,51,8.46,9,9,3,37,54,1
130,40,Male,Student,7.99,17,7.04,2,2,0,74,185,3
131,21,Female,Engineer,7.44,19,4.06,9,3,3,89,118,3
132,58,Male,Designer,4.72,36,4.11,7,3,1,66,182,1
133,30,Female,Business,9.0,30,7.96,8,9,5,43,256,6
134,50,Male,Student,6.65,16,8.69,2,7,5,32,52,7
135,39,Female,Business,2.42,114,5.13,7,5,1,55,41,5
136,54,Female,Engineer,2.66,80,5.51,6,9,1,117,34,9
137,43,Male,Doctor,9.31,19,7.7,3,1,0,97,271,4
138,38,Male,Business,6.54,116,6.73,1,7,5,52,275,1
139,30,Male,Designer,2.82,117,5.17,2,8,1,5,247,4
140,39,Female,Student,7.5,24,6.62,5,6,2,82,134,6
141,26,Female,Teacher,2.74,38,6.94,6,5,3,58,163,4
142,29,Female,Student,2.93,10,6.61,4,9,0,23,252,7
143,44,Female,Designer,1.64,54,4.01,6,3,1,47,281,1
144,59,Female,Student,1.35,38,8.54,7,6,5,96,105,9
145,56,Female,Designer,7.21,105,6.37,6,7,5,8,188,7
146,39,Female,Business,1.81,6,6.86,5,5,4,40,214,3
147,50,Female,Engineer,3.28,106,8.55,2,4,2,80,158,7
148,43,Male,Designer,1.6,6,7.56,9,6,2,78,59,1
149,49,Female,Designer,6.83,106,8.02,4,4,5,5,100,6
150,47,Male,Teacher,7.82,113,7.04,2,1,2,39,133,9
151,50,Female,Designer,4.74,71,7.38,3,1,5,95,128,3
152,24,Female,Business,5.95,83,4.27,5,2,4,115,129,6
153,49,Male,Engineer,5.12,57,7.69,2,6,0,78,80,1
154,46,Female,Student,8.22,65,4.75,7,9,3,50,149,8
155,56,Female,Business,7.28,96,5.97,6,2,5,65,225,2
156,32,Male,Business,7.39,24,5.35,7,2,1,107,231,5
157,21,Male,Business,4.18,12,8.14,5,5,2,53,232,2
158,44,Male,Student,7.96,112,8.9,1,1,1,87,92,2
159,40,Male,Engineer,9.31,114,8.17,2,1,1,57,61,8
160,29,Female,Student,9.12,30,6.06,3,1,4,81,266,8
161,29,Male,Student,4.59,115,6.26,3,7,1,73,144,2
162,46,Female,Business,2.3,19,6.57,5,2,5,49,83,5
163,49,Female,Doctor,9.28,34,4.76,9,4,3,15,195,3
164,50,Female,Designer,7.65,19,5.02,5,9,0,30,198,4
165,27,Male,Teacher,5.23,36,6.38,5,7,5,94,229,6
166,22,Female,Engineer,1.45,80,6.57,6,9,0,102,26,7
167,47,Female,Teacher,5.99,12,7.0,3,6,2,61,21,2
168,19,Male,Doctor,9.63,56,4.8,6,5,3,92,129,7
169,30,Female,Teacher,5.69,103,8.57,3,7,1,95,197,3
170,27,Female,Teacher,6.04,22,8.87,1,8,4,102,120,4
171,46,Female,Business,7.01,27,4.26,6,9,1,16,265,5
172,44,Male,Teacher,7.24,101,6.43,4,5,5,14,160,5
173,49,Male,Designer,1.4,15,6.63,2,9,2,98,237,6
174,29,Female,Student,7.96,93,8.09,7,3,1,99,270,9
175,27,Female,Designer,9.58,85,6.39,6,3,3,45,52,7
176,43,Male,Teacher,9.09,82,4.68,5,5,0,87,255,7
177,34,Male,Student,6.91,85,4.84,5,5,3,42,182,4
178,47,Male,Teacher,8.99,105,6.19,8,2,0,99,191,2
179,35,Male,Designer,9.45,59,6.14,6,1,0,44,297,3
180,41,Male,Engineer,4.39,10,7.95,2,6,0,68,59,5
181,54,Male,Designer,2.79,107,8.7,6,4,1,24,250,6
182,55,Male,Student,3.77,59,4.89,5,6,1,75,140,8
183,41,Female,Student,6.6,33,8.19,6,5,0,27,44,5
184,42,Female,Business,1.89,79,7.56,4,6,0,19,111,5
185,50,Male,Designer,6.71,5,4.31,1,9,0,112,27,1
186,28,Male,Student,9.7,61,4.06,7,1,2,28,117,4
187,55,Female,Doctor,5.51,61,8.42,9,3,1,69,49,2
188,48,Female,Business,6.44,113,8.26,8,9,5,31,144,6
189,49,Male,Business,1.08,52,4.04,7,4,5,47,82,8
190,44,Male,Teacher,3.49,49,4.95,8,8,4,108,284,2
191,20,Male,Teacher,5.22,109,6.75,7,8,0,54,157,8
192,21,Male,Engineer,5.61,92,8.82,1,5,1,65,176,4
193,24,Male,Business,8.78,58,5.69,1,6,2,44,163,1
194,28,Female,Business,9.95,35,4.8,2,5,4,25,109,9
195,44,Female,Teacher,6.96,64,4.5,3,1,1,99,24,7
196,32,Male,Student,3.11,104,6.19,1,3,5,93,155,4
197,35,Male,Business,7.26,93,6.91,6,1,3,45,25,9
198,48,Male,Doctor,5.84,104,8.58,4,9,1,1,24,4
199,29,Female,Engineer,8.74,112,8.03,3,3,1,53,240,4
200,25,Male,Doctor,2.06,79,6.55,9,2,0,86,127,9
201,46,Female,Doctor,1.69,119,7.51,2,2,5,24,60,1
202,34,Female,Student,9.68,80,8.28,9,9,3,85,55,1
203,58,Female,Business,4.79,119,7.43,4,8,1,40,74,5
204,35,Female,Designer,1.9,74,4.07,4,4,5,18,190,4
205,18,Female,Teacher,2.63,43,4.36,9,4,3,105,253,8
206,51,Female,Teacher,1.59,101,8.94,1,9,0,81,71,6
207,58,Female,Engineer,4.93,46,6.39,9,9,2,87,46,7
208,30,Female,Student,3.69,100,7.86,3,1,3,76,207,8
209,30,Female,Teacher,9.97,88,7.62,7,5,2,89,291,8
210,44,Male,Teacher,7.87,19,8.16,6,4,4,37,74,9
211,21,Female,Doctor,8.98,49,5.74,1,8,0,10,41,4
212,52,Male,Doctor,7.02,52,6.92,5,6,2,75,240,1
213,44,Male,Teacher,1.26,7,5.24,2,4,3,4,52,6
214,21,Female,Teacher,2.07,114,4.82,3,5,0,21,30,1
215,24,Male,Business,1.32,17,8.93,3,9,4,60,39,9
216,25,Male,Business,6.97,47,8.87,8,3,2,94,147,1
217,49,Male,Teacher,3.27,36,4.79,5,5,5,90,290,1
218,39,Female,Business,6.85,30,4.91,3,3,1,109,74,1
219,35,Male,Engineer,2.32,104,5.85,9,8,4,9,142,1
220,35,Male,Designer,5.82,68,7.94,7,2,1,7,292,1
221,21,Female,Designer,7.51,56,6.96,1,6,5,55,174,8
222,50,Female,Doctor,1.31,97,4.72,1,5,0,73,270,4
223,28,Female,Business,1.37,87,8.89,2,3,4,53,290,6
224,19,Male,Student,4.86,95,7.78,3,4,0,100,283,8
225,34,Male,Designer,3.04,40,6.45,3,7,1,37,75,9
226,31,Male,Engineer,8.4,97,4.43,5,8,1,16,172,7
227,28,Female,Designer,1.89,106,4.39,6,8,2,69,58,6
228,50,Female,Teacher,8.99,110,4.79,5,8,1,6,83,8
229,43,Female,Designer,5.56,115,7.32,5,6,1,104,79,3
230,36,Male,Student,6.77,58,8.07,1,1,5,51,174,1
231,40,Female,Business,9.58,31,4.07,1,6,5,25,43,8
232,51,Female,Business,9.44,53,8.47,6,7,1,68,108,4
233,53,Male,Student,6.94,107,8.1,5,8,3,22,50,9
234,25,Female,Designer,9.78,73,8.23,4,5,5,88,83,2
235,48,Male,Student,9.17,49,4.88,7,6,5,77,123,8
236,20,Female,Business,7.05,47,4.94,5,5,5,92,35,7
237,41,Male,Doctor,9.71,8,4.56,6,9,4,95,114,2
238,59,Female,Doctor,1.94,31,4.17,8,5,3,9,76,9
239,34,Female,Designer,5.77,106,7.27,3,5,5,101,214,2
240,52,Female,Doctor,1.69,5,5.99,8,3,5,84,88,3
241,41,Female,Business,9.91,107,4.95,2,2,1,83,295,6
242,20,Male,Designer,2.9,115,7.97,4,6,5,116,81,2
243,48,Female,Business,5.86,65,6.47,1,9,5,43,221,3
244,55,Female,Designer,1.91,74,4.78,8,2,2,27,112,3
245,18,Female,Designer,7.99,23,5.31,2,6,5,115,208,1
246,54,Female,Designer,7.27,72,4.56,1,7,2,0,290,3
247,39,Male,Engineer,7.28,33,4.3,9,4,1,97,291,9
248,42,Female,Engineer,5.54,111,6.81,5,7,0,88,31,2
249,51,Female,Doctor,2.31,46,4.83,8,1,0,96,249,8
250,52,Female,Teacher,2.26,42,6.15,9,7,0,92,63,4
251,43,Male,Designer,6.53,43,5.58,1,7,4,85,75,3
252,47,Male,Business,7.45,14,6.12,2,7,4,11,121,9
253,59,Female,Business,9.5,6,5.78,5,8,2,23,155,4
254,42,Male,Doctor,5.29,96,7.65,1,8,4,75,111,6
255,38,Male,Designer,4.67,16,6.26,3,6,0,102,70,2
256,35,Male,Engineer,3.77,41,7.37,8,2,5,102,238,8
257,59,Male,Business,4.46,23,8.47,5,1,5,67,235,9
258,54,Female,Designer,3.03,53,5.29,3,6,5,80,221,8
259,25,Male,Doctor,7.65,47,5.4,5,3,1,118,216,8
260,29,Male,Doctor,5.77,50,6.89,9,2,0,47,68,4
261,55,Male,Designer,2.9,98,4.25,5,8,5,28,262,9
262,27,Female,Teacher,3.98,72,6.93,6,2,5,5,211,4
263,42,Male,Engineer,9.38,74,6.86,3,3,4,48,155,6
264,54,Male,Engineer,5.05,31,4.91,5,7,2,7,174,6
265,47,Female,Business,1.01,66,7.38,5,9,3,108,172,2
266,46,Male,Doctor,4.8,78,8.24,9,8,3,14,152,7
267,42,Female,Engineer,8.51,44,7.33,5,6,3,14,112,5
268,50,Male,Doctor,7.11,30,4.92,6,3,1,38,167,8
269,28,Male,Engineer,4.81,22,6.16,1,3,4,103,288,2
270,33,Male,Student,9.79,51,7.55,6,2,3,20,231,1
271,52,Male,Engineer,1.99,92,5.42,6,9,5,35,197,7
272,21,Female,Student,6.85,56,6.7,5,4,1,47,89,6
273,41,Male,Student,1.09,97,8.94,9,1,4,61,215,2
274,54,Female,Business,3.83,99,6.75,4,2,4,38,203,6
275,18,Female,Designer,9.67,85,8.34,6,6,5,46,181,4
276,31,Male,Teacher,7.64,76,5.04,6,4,3,52,82,6
277,38,Male,Business,5.2,96,6.1,8,3,1,102,126,9
278,20,Male,Teacher,7.47,104,4.12,9,1,5,75,58,4
279,48,Female,Designer,8.3,80,4.91,8,5,2,112,54,6
280,48,Male,Student,2.1,59,5.58,2,5,5,20,262,1
281,52,Male,Engineer,6.01,110,6.54,3,6,5,111,241,5
282,30,Female,Doctor,7.54,106,8.74,6,2,4,15,205,2
283,51,Male,Doctor,8.88,5,5.24,9,7,0,106,280,9
284,44,Female,Doctor,2.3,32,5.72,7,3,4,58,118,1
285,48,Male,Doctor,3.31,25,7.53,1,6,0,117,246,8
286,56,Female,Engineer,3.54,24,7.72,8,1,4,87,180,3
287,55,Male,Doctor,8.68,80,4.06,8,9,4,9,251,5
288,44,Male,Business,6.43,112,4.24,7,1,0,94,44,6
289,20,Male,Engineer,5.58,45,4.31,9,3,5,33,69,9
290,58,Female,Business,3.19,20,5.68,7,6,2,115,270,9
291,49,Male,Designer,5.17,45,7.13,3,8,2,45,231,6
292,27,Female,Student,6.04,7,5.98,4,7,5,35,79,4
293,49,Female,Designer,7.28,52,7.46,5,6,2,36,244,3
294,51,Male,Designer,1.16,83,6.01,9,3,1,15,135,3
295,40,Male,Engineer,6.35,110,4.82,1,6,5,106,159,9
296,26,Female,Designer,1.13,11,5.5,5,2,3,2,169,7
297,20,Female,Doctor,1.65,109,7.22,3,7,0,34,49,5
298,18,Female,Designer,5.73,99,5.73,6,4,0,2,76,4
299,21,Female,Designer,6.96,63,7.31,2,6,3,113,148,3
300,28,Female,Designer,9.29,112,8.2,2,1,1,17,293,1
301,19,Male,Teacher,3.19,85,4.29,2,6,1,84,298,1
302,34,Female,Designer,2.57,37,7.91,3,5,1,64,280,6
303,58,Male,Designer,9.68,35,6.36,7,1,0,72,107,1
304,44,Female,Teacher,1.48,40,7.96,6,9,1,73,51,7
305,45,Female,Doctor,2.59,69,6.5,4,6,5,21,243,9
306,41,Male,Designer,8.74,12,6.14,2,6,4,75,148,6
307,55,Male,Designer,8.98,67,5.15,6,1,4,45,93,2
308,52,Female,Student,9.61,44,5.37,2,5,0,14,187,6
309,19,Female,Engineer,6.82,67,7.35,4,6,4,101,165,5
310,52,Male,Teacher,7.92,32,6.17,5,5,0,45,285,8
311,31,Female,Designer,9.9,11,4.41,9,6,4,61,111,8
312,30,Male,Student,6.8,58,7.27,3,7,4,38,176,3
313,26,Male,Engineer,1.35,42,4.63,8,4,0,44,32,5
314,50,Female,Teacher,5.42,80,6.59,9,5,4,50,145,6
315,26,Female,Teacher,7.27,13,7.44,5,6,5,6,220,2
316,53,Female,Doctor,1.62,56,6.1,7,1,2,6,116,9
317,56,Male,Doctor,7.16,88,7.57,3,3,3,85,275,7
318,57,Male,Designer,4.6,95,8.03,7,6,4,22,296,7
319,37,Male,Business,4.28,67,7.54,3,2,0,65,171,9
320,35,Male,Designer,8.18,64,5.09,2,4,4,111,166,9
321,32,Female,Designer,1.31,70,8.61,8,4,5,32,236,1
322,59,Male,Teacher,4.15,46,8.23,6,2,1,16,34,4
323,40,Male,Teacher,4.19,6,6.75,8,3,1,28,162,7
324,18,Female,Teacher,6.78,96,8.87,4,5,0,18,170,9
325,28,Male,Student,6.99,64,5.3,9,7,5,99,194,7
326,19,Male,Student,9.27,77,6.72,4,7,4,75,226,6
327,22,Male,Doctor,4.93,17,5.0,3,1,5,119,118,5
328,59,Male,Designer,1.75,119,8.43,4,6,4,89,243,4
329,43,Male,Designer,7.78,85,6.72,7,7,1,5,40,1
330,49,Female,Business,5.99,111,7.54,6,2,0,17,111,6
331,50,Female,Business,9.25,6,7.3,4,6,1,94,208,5
332,21,Female,Designer,4.36,22,6.33,8,1,0,71,164,4
333,18,Female,Doctor,4.27,7,5.9,4,4,1,65,199,3
334,48,Female,Business,3.14,36,5.69,1,5,2,56,139,8
335,32,Male,Business,2.6,23,8.26,1,3,1,47,217,9
336,32,Male,Engineer,6.3,82,7.98,6,2,1,15,281,1
337,38,Female,Business,7.54,19,6.68,3,7,3,67,72,2
338,42,Male,Student,2.68,10,6.38,7,8,5,5,184,3
339,37,Male,Doctor,4.38,15,8.14,8,9,0,106,49,5
340,26,Male,Engineer,7.9,36,6.15,8,5,5,113,32,3
341,37,Female,Engineer,5.35,74,4.39,8,5,0,35,148,9
342,56,Female,Designer,5.28,65,5.46,3,4,5,95,105,4
343,18,Male,Teacher,5.48,22,5.15,9,3,3,103,183,9
344,38,Male,Designer,6.33,23,7.36,4,8,4,58,206,3
345,58,Female,Student,1.62,35,8.76,7,4,0,77,69,2
346,33,Female,Teacher,3.37,99,6.93,1,4,1,60,246,5
347,50,Male,Business,2.66,105,5.09,3,7,0,88,295,6
348,39,Male,Teacher,6.56,119,6.45,2,8,2,72,38,7
349,24,Female,Student,7.4,86,6.79,8,4,0,79,235,5
350,35,Male,Teacher,6.82,88,5.3,6,8,2,85,159,8
351,30,Male,Teacher,8.22,49,4.76,3,3,0,89,69,5
352,44,Male,Doctor,6.92,34,7.22,6,7,5,87,115,7
353,29,Female,Designer,5.72,36,4.87,3,5,5,42,20,3
354,26,Male,Designer,3.9,13,6.95,3,3,3,2,286,3
355,34,Female,Engineer,9.28,93,7.96,7,1,0,6,51,4
356,41,Male,Engineer,2.86,7,4.14,4,6,1,116,68,2
357,24,Male,Designer,2.37,87,8.04,7,2,3,67,114,4
358,30,Female,Business,2.7,111,8.78,9,1,3,108,238,6
359,25,Female,Teacher,2.0,80,4.09,7,6,3,36,46,2
360,37,Male,Designer,2.92,6,6.0,4,4,1,46,85,8
361,45,Female,Teacher,6.63,53,8.3,7,4,0,79,109,3
362,50,Male,Doctor,4.47,62,8.75,7,6,2,104,54,4
363,56,Male,Student,9.48,53,5.17,7,3,0,83,261,8
364,51,Female,Doctor,1.35,15,8.48,2,5,2,112,237,1
365,40,Female,Doctor,9.44,94,6.74,7,9,3,117,131,9
366,46,Male,Student,4.12,49,7.06,9,8,1,73,198,9
367,49,Female,Business,9.08,47,4.32,4,6,0,88,132,6
368,46,Male,Teacher,3.96,63,4.24,9,5,4,83,175,6
369,26,Female,Designer,4.98,64,7.77,8,3,4,37,224,4
370,22,Female,Teacher,9.7,47,7.09,3,9,1,107,136,3
371,18,Female,Business,1.95,100,5.87,8,4,0,33,155,1
372,48,Male,Engineer,1.72,115,4.9,2,9,1,57,178,5
373,42,Male,Doctor,4.78,18,8.91,6,8,2,22,245,2
374,20,Female,Designer,5.71,13,8.75,2,2,5,12,239,1
375,51,Male,Student,5.34,78,5.58,3,7,5,59,123,8
376,26,Female,Designer,7.97,81,4.57,1,3,3,98,84,2
377,37,Female,Designer,3.47,24,5.43,3,2,2,13,183,1
378,23,Male,Teacher,2.12,110,8.72,9,1,4,37,215,9
379,21,Male,Business,6.0,22,4.36,7,5,2,108,34,5
380,19,Female,Teacher,1.89,67,5.92,5,6,5,1,162,1
381,18,Female,Student,3.45,93,4.15,7,4,0,61,194,8
382,23,Male,Student,1.31,65,5.99,3,8,4,2,185,6
383,59,Female,Designer,5.24,77,4.85,8,2,1,98,168,6
384,26,Female,Business,3.36,35,6.19,2,9,0,101,189,6
385,36,Male,Doctor,5.29,85,4.16,2,3,2,0,58,9
386,41,Female,Business,5.46,44,7.91,2,3,1,65,33,6
387,37,Male,Designer,3.85,23,6.33,6,6,1,117,55,2
388,26,Male,Teacher,2.12,58,8.22,5,3,3,35,98,5
389,58,Female,Designer,9.71,10,8.71,8,9,5,72,224,5
390,39,Female,Teacher,8.85,88,5.57,5,6,4,82,168,7
391,18,Female,Business,8.3,35,4.28,4,8,5,94,242,4
392,42,Female,Doctor,9.28,109,4.15,1,9,0,42,287,1
393,49,Male,Business,7.78,26,8.93,4,9,5,73,174,2
394,50,Male,Student,3.51,71,5.11,5,7,3,104,288,8
395,59,Female,Business,7.12,80,7.27,6,2,0,60,189,1
396,21,Male,Teacher,9.3,64,4.44,9,6,1,16,202,1
397,26,Male,Doctor,9.57,37,5.85,6,5,1,32,74,1
398,31,Male,Engineer,8.93,84,4.37,9,5,5,115,278,7
399,31,Male,Business,6.68,95,4.8,6,7,4,8,176,2
400,51,Male,Designer,1.18,46,6.31,3,7,3,75,132,7
401,33,Male,Student,7.35,60,4.5,7,3,2,50,120,3
402,58,Male,Student,1.02,85,5.82,8,5,4,78,23,8
403,21,Female,Teacher,8.93,87,8.52,7,2,4,67,210,7
404,44,Male,Doctor,9.09,51,5.65,8,4,5,77,270,1
405,22,Female,Doctor,3.93,36,5.21,9,1,3,15,219,6
406,31,Male,Business,1.42,14,8.25,8,9,0,10,159,2
407,25,Male,Business,1.84,37,4.52,8,3,2,118,240,7
408,48,Female,Business,9.6,56,8.53,9,3,5,12,26,6
409,30,Male,Student,3.28,100,6.91,7,6,2,5,221,4
410,52,Male,Student,8.34,49,7.49,3,2,2,26,263,3
411,33,Female,Doctor,7.76,13,4.04,3,8,0,83,169,4
412,43,Male,Doctor,8.12,25,4.63,9,9,5,49,155,5
413,28,Female,Engineer,1.87,20,6.55,3,4,1,14,58,7
414,19,Male,Business,1.78,119,4.96,1,5,5,21,162,2
415,46,Male,Designer,5.13,25,7.16,8,7,1,39,147,2
416,37,Female,Teacher,3.46,64,4.34,5,5,1,15,97,3
